"","phylum","class","family","species","date","year","lat","lon","locality","num.obs"
"1","Magnoliophyta","Magnoliopsida","Violaceae","Viola sororia",1946-05-14,1946,41.76194,-72.74194,"West Hartford",17
"2","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Silene flos-cuculi",1912-06-02,1912,41.76361,-72.685,"Hartford",14
"3","Magnoliophyta","Magnoliopsida","Violaceae","Viola cucullata",1933-05-01,1933,41.76361,-72.685,"Hartford",12
"4","Magnoliophyta","Liliopsida","Cyperaceae","Carex grayi",1905-06-09,1905,41.78222,-72.61194,"East Hartford",11
"5","Magnoliophyta","Liliopsida","Cyperaceae","Carex lupulina",1905-08-19,1905,41.69027,-72.65611,"South Wethersfield",10
"6","Magnoliophyta","Liliopsida","Cyperaceae","Carex intumescens",1908-07-27,1908,41.7635,-72.6153,"",10
"7","Magnoliophyta","Magnoliopsida","Onagraceae","Ludwigia polycarpa",1909-09-25,1909,41.766,-72.6834,"",10
"8","Magnoliophyta","Liliopsida","Cyperaceae","Carex echinata",1914-06-12,1914,41.76194,-72.74194,"West Hartford",10
"9","Magnoliophyta","Liliopsida","Cyperaceae","Carex pensylvanica",1928-04-19,1928,41.75223,-72.72181,"Oakwood Avenue Woods",10
"10","Magnoliophyta","Liliopsida","Cyperaceae","Scirpus cyperinus",1930-08-26,1930,41.76194,-72.74194,"West Hartford",10
"11","Magnoliophyta","Magnoliopsida","Polygonaceae","Rumex verticillatus",1909-09-25,1909,41.766,-72.6834,"",9
"12","Magnoliophyta","Magnoliopsida","Staphyleaceae","Staphylea trifolia",1914-05-24,1914,41.76194,-72.74194,"West Hartford",9
"13","Magnoliophyta","Magnoliopsida","Linderniaceae","Lindernia dubia",1916-08-10,1916,41.7636,-72.6153,"Hockanum River",9
"14","Magnoliophyta","Magnoliopsida","Lamiaceae","Mentha arvensis",1928-07-21,1928,41.75223,-72.72181,"Oakwood Avenue Woods",9
"15","Magnoliophyta","Magnoliopsida","Asteraceae","Scorzoneroides autumnalis",1940-09-02,1940,41.7636,-72.6153,"Silver Lane",9
"16","Magnoliophyta","Liliopsida","Cyperaceae","Cyperus strigosus",1908-07-26,1908,41.78222,-72.61194,"East Hartford",8
"17","Magnoliophyta","Magnoliopsida","Amaranthaceae","Amaranthus tuberculatus",1909-09-06,1909,41.76361,-72.685,"Hartford",8
"18","Magnoliophyta","Magnoliopsida","Amaranthaceae","Amaranthus graecizans",1909-08-20,1909,41.766,-72.6834,"",8
"19","Magnoliophyta","Magnoliopsida","Gentianaceae","Gentiana clausa",1912-09-07,1912,41.76361,-72.685,"Hartford",8
"20","Magnoliophyta","Liliopsida","Cyperaceae","Carex albicans",1913-05-18,1913,41.78222,-72.61194,"East Hartford",8
"21","Magnoliophyta","Magnoliopsida","Asteraceae","Lactuca canadensis",1916-07-29,1916,41.7636,-72.6153,"cemetery",8
"22","Magnoliophyta","Magnoliopsida","Apiaceae","Cicuta maculata",1919-07-28,1919,41.7661,-72.6833,"bank of Housatonic River",8
"23","Magnoliophyta","Magnoliopsida","Asteraceae","Euthamia graminifolia",1928-08-23,1928,41.75223,-72.72181,"Oakwood Avenue Woods",8
"24","Magnoliophyta","Magnoliopsida","Ranunculaceae","Anemone quinquefolia",1928-05-13,1928,41.75223,-72.72181,"Oakwood Avenue Woods",8
"25","Magnoliophyta","Liliopsida","Orchidaceae","Goodyera pubescens",1936-07-05,1936,41.7661,-72.6833,"E. Hartland",8
"26","Magnoliophyta","Liliopsida","Orchidaceae","Platanthera lacera",1939-03-01,1939,41.70111,-72.67,"Wethersfield",8
"27","Chordata","Aves","Troglodytidae","Cistothorus palustris ssp. palustris",1887-10-10,1887,41.78222,-72.6125,"East Hartford",7
"28","Magnoliophyta","Magnoliopsida","Hypericaceae","Hypericum ellipticum",1903-07-07,1903,41.7635,-72.6153,"",7
"29","Magnoliophyta","Magnoliopsida","Rosaceae","Rubus frondosus",1907-06-22,1907,41.7011,-72.6703,"Cedar Hill",7
"30","Magnoliophyta","Liliopsida","Poaceae","Eragrostis pilosa",1908-10-17,1908,41.766,-72.6834,"",7
"31","Magnoliophyta","Magnoliopsida","Asteraceae","Rudbeckia triloba",1908-09-19,1908,41.766,-72.6834,"",7
"32","Magnoliophyta","Magnoliopsida","Rubiaceae","Galium tinctorium",1908-06-14,1908,41.7661,-72.6833,"South Meadow",7
"33","Magnoliophyta","Liliopsida","Cyperaceae","Carex lurida",1908-06-08,1908,41.78222,-72.61194,"East Hartford",7
"34","Magnoliophyta","Magnoliopsida","Cannabaceae","Humulus japonicus",1909-09-25,1909,41.7661,-72.6833,"dump on South Meadows",7
"35","Pteridophyta","Psilotopsida","Ophioglossaceae","Botrychium dissectum",1914-08-01,1914,41.77277,-72.57305,"Laurel Lake, Manchester",7
"36","Magnoliophyta","Liliopsida","Poaceae","Panicum acuminatum",1921-07-02,1921,41.7661,-72.6833,"sandy soil of old excavation",7
"37","Magnoliophyta","Magnoliopsida","Violaceae","Viola lanceolata",1932-06-09,1932,41.76194,-72.74194,"West Hartford",7
"38","Arthropoda","Insecta","Ichneumonidae","Eriborus terebrans",1939-01-01,1939,41.78222,-72.6125,"East Hartford",7
"39","Magnoliophyta","Liliopsida","Orchidaceae","Spiranthes cernua",1940-08-13,1940,41.7661,-72.6833,"East Hartland",7
"40","Magnoliophyta","Liliopsida","Araceae","Arisaema triphyllum",1947-11-01,1947,41.78222,-72.61194,"East Hartford",7
"41","Magnoliophyta","Magnoliopsida","Cornaceae","Cornus canadensis",1954-06-20,1954,41.7922,-72.7189,"Pell Road",7
"42","Chordata","Aves","Troglodytidae","Troglodytes aedon ssp. aedon",1892-05-25,1892,41.78222,-72.6125,"East Hartford",6
"43","Magnoliophyta","Liliopsida","Cyperaceae","Carex vulpinoidea",1903-06-09,1903,41.78222,-72.61194,"East Hartford",6
"44","Pteridophyta","Polypodiopsida","Woodsiaceae","Athyrium filix-femina",1907-09-07,1907,41.80222,-72.66611,"Keney Park",6
"45","Magnoliophyta","Magnoliopsida","Chenopodiaceae","Bassia scoparia",1909-09-25,1909,41.766,-72.6834,"",6
"46","Magnoliophyta","Magnoliopsida","Lamiaceae","Lycopus virginicus",1909-09-25,1909,41.766,-72.6834,"",6
"47","Magnoliophyta","Liliopsida","Cyperaceae","Cyperus reduncus",1909-09-25,1909,41.7661,-72.6833,"Sand bars of Connecticut River",6
"48","Magnoliophyta","Liliopsida","Typhaceae","Sparganium androcladum",1909-09-25,1909,41.76555,-72.66555,"Connecticut River, Hartford",6
"49","Magnoliophyta","Liliopsida","Cyperaceae","Carex haydenii",1911-05-30,1911,41.78222,-72.61194,"East Hartford",6
"50","Magnoliophyta","Liliopsida","Cyperaceae","Carex folliculata",1912-06-28,1912,41.78222,-72.61194,"East Hartford",6
"51","Magnoliophyta","Magnoliopsida","Menispermaceae","Menispermum canadense",1919-06-08,1919,41.76555,-72.66555,"Connecticut River, East Hartford",6
"52","Magnoliophyta","Liliopsida","Poaceae","Paspalum setaceum",1922-09-01,1922,41.7635,-72.6153,"",6
"53","Magnoliophyta","Magnoliopsida","Asteraceae","Solidago rugosa",1928-09-15,1928,41.75223,-72.72181,"Oakwood Avenue Woods",6
