"","phylum","class","family","species","date","year","lat","lon","locality","num.obs"
"1","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Stellaria pubera",1822-05-01,1822,41.812,-72.6573,"",1
"2","Magnoliophyta","Magnoliopsida","Plantaginaceae","Kickxia elatine",1841-01-01,1841,41.7012,-72.6704,"",1
"3","Magnoliophyta","Liliopsida","Potamogetonaceae","Stuckenia pectinata",1857-01-01,1857,41.766,-72.6834,"",1
"4","Magnoliophyta","Liliopsida","Poaceae","Panicum polyanthes",1869-08-26,1869,41.766,-72.6834,"",1
"5","Magnoliophyta","Magnoliopsida","Plantaginaceae","Penstemon digitalis",1876-01-01,1876,41.7661,-72.6833,"south side of Capitol Avenue near Park River",1
"6","Magnoliophyta","Liliopsida","Cyperaceae","Eleocharis palustris ssp. palustris",1879-07-15,1879,41.766,-72.6834,"",1
"7","Magnoliophyta","Magnoliopsida","Onagraceae","Oenothera perennis",1879-06-14,1879,41.76583,-72.68388,"Hartford",1
"8","Magnoliophyta","Magnoliopsida","Fabaceae","Lespedeza violacea v. divergens",1880-08-01,1880,41.82361,-72.62111,"South Windsor",1
"9","Magnoliophyta","Magnoliopsida","Oleaceae","Syringa josikaea",1880-01-01,1880,41.7661,-72.6833,"Hartford Park",1
"10","Magnoliophyta","Magnoliopsida","Fabaceae","Erythrina crista-galli",1880-01-01,1880,41.7661,-72.6833,"Hartford Park",1
"11","Pinophyta","Pinopsida","Pinaceae","Pinus nigra",1880-01-01,1880,41.7661,-72.6833,"Hartford Park",1
"12","Magnoliophyta","Magnoliopsida","Salicaceae","Salix rosmarinifolia",1880-01-01,1880,41.766,-72.6834,"",1
"13","Magnoliophyta","Liliopsida","Poaceae","Sporobolus asper",1882-09-15,1882,41.766,-72.6834,"",1
"14","Magnoliophyta","Magnoliopsida","Asteraceae","Bidens tripartita",1882-09-15,1882,41.7661,-72.6833,"Hartford Meadow",1
"15","Magnoliophyta","Magnoliopsida","Lythraceae","Decodon verticillatus v. laevigatus",1882-08-12,1882,41.70111,-72.67,"Wethersfield",1
"16","Magnoliophyta","Magnoliopsida","Polygonaceae","Rumex patientia",1882-06-22,1882,41.766,-72.6834,"",1
"17","Magnoliophyta","Liliopsida","Cyperaceae","Carex festucacea",1882-06-17,1882,41.766,-72.6834,"",1
"18","Magnoliophyta","Liliopsida","Cyperaceae","Carex argyrantha",1882-06-12,1882,41.766,-72.6834,"",1
"19","Magnoliophyta","Liliopsida","Cyperaceae","Carex lasiocarpa v. americana",1882-06-07,1882,41.766,-72.6834,"",1
"20","Magnoliophyta","Magnoliopsida","Ranunculaceae","Ranunculus gmelinii",1882-05-19,1882,41.766,-72.6834,"",1
"21","Magnoliophyta","Magnoliopsida","Brassicaceae","Lobularia maritima",1883-08-05,1883,41.7922,-72.7189,"",1
"22","Magnoliophyta","Liliopsida","Araceae","Lemna trisulca",1884-08-02,1884,41.766,-72.6834,"",1
"23","Magnoliophyta","Magnoliopsida","Orobanchaceae","Pedicularis canadensis",1885-05-26,1885,41.76583,-72.68388,"Hartford",1
"24","Magnoliophyta","Magnoliopsida","Solanaceae","Datura stramonium",1886-08-07,1886,41.7661,-72.6833,"bank of Housatonic River",1
"25","Magnoliophyta","Liliopsida","Poaceae","Arrhenatherum elatius",1886-06-01,1886,41.7661,-72.6833,"North cemetery",1
"26","Chordata","Aves","Strigidae","Strix varia ssp. varia",1886-03-30,1886,41.78222,-72.6125,"East Hartford",1
"27","Magnoliophyta","Magnoliopsida","Polemoniaceae","Phlox paniculata",1887-08-30,1887,41.76583,-72.68388,"Hartford",1
"28","Magnoliophyta","Liliopsida","Orchidaceae","Neottia cordata",1887-06-24,1887,41.7175,-72.70416,"Cedar Mountain",1
"29","Magnoliophyta","Magnoliopsida","Vitaceae","Vitis labrusca",1887-06-14,1887,41.70111,-72.67,"Wethersfield",1
"30","Magnoliophyta","Magnoliopsida","Caprifoliaceae","Triosteum aurantiacum",1887-05-30,1887,41.76361,-72.685,"Hartford",1
"31","Magnoliophyta","Magnoliopsida","Juglandaceae","Juglans regia",1887-05-21,1887,41.76583,-72.68388,"Hartford",1
"32","Magnoliophyta","Magnoliopsida","Grossulariaceae","Ribes hirtellum",1887-05-14,1887,41.76194,-72.74194,"West Hartford",1
"33","Magnoliophyta","Magnoliopsida","Grossulariaceae","Ribes rubrum",1887-05-11,1887,41.76583,-72.68388,"Hartford",1
